Project Name,Pos. barcode,Barcode,Part Name,Cutting Length,Cutting Width,Qty,Lenght,Width,Panel Thickness,Material Name,Face Material 1,Face Material 2,Core material,Edge 1,Edge 2,Edge 3,Edge 4,Grain
Mr. Vijay,01.26Y111T1F1B3_1001,26Y111T1F1B3_1001,Bed Foot Side,376.4,1462.4,1,380,1466,17,CP_HDR17_8023_OS_8134,CB_8023_MOCHA_BROWN_MATT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,01.26Y111T1F1B3_1002,26Y111T1F1B3_1002,Bed Head Side,876.4,1284.4,1,880,1288,17,CP_HDR17_8023_OS_8134,CB_8023_MOCHA_BROWN_MATT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,01.26Y111T1F1B3_1004,26Y111T1F1B3_1004,Left Side,376.4,1267.4,1,380,1271,17,CP_HDR17_8023_OS_8134,CB_8023_MOCHA_BROWN_MATT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,02.26Y111T1F1B3_1059,26Y111T1F1B3_1059,Bed Head Side,572.4,474.4,1,576,478,17,CP_HDR17_8023_OS_8134,CB_8023_MOCHA_BROWN_MATT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,02.26Y111T1F1B3_1061,26Y111T1F1B3_1061,Left Side,72.4,474.4,1,76,478,17,CP_HDR17_8023_OS_8134,CB_8023_MOCHA_BROWN_MATT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,01.26Y111T1F1B3_1083,26Y111T1F1B3_1083,Back Panel,353.8,1447.8,1,355,1449,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1005,26Y111T1F1B3_1005,Bed Mid Side,353.8,1252.8,1,355,1254,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1006,26Y111T1F1B3_1006,Bed Bottom Strip,38.8,713.6,1,40,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1007,26Y111T1F1B3_1007,Bed Bottom Strip,38.8,1217.6,1,40,1220,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1008,26Y111T1F1B3_1008,Bed Bottom Strip,38.8,713.6,1,40,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
